netflix_condense table contents

title;type;listed_in;rating;country;date_added;release_year;duration
"Zac and Mia";"TV Show";"Romantic TV Shows, TV Dramas, Teen TV Shows";TV-14;"United States";1-Feb-21;2019;"2 Seasons"
Zathura;Movie;"Children & Family Movies, Sci-Fi & Fantasy";PG;"United States";1-Feb-21;2005;"101 min"
"Hell Fest";Movie;"Horror Movies";R;"United States";31-Jan-21;2018;"89 min"
"Finding ?Ohana";Movie;"Children & Family Movies, Comedies";PG;"United States";29-Jan-21;2021;"123 min"
"We Are: The Brooklyn Saints";"TV Show";Docuseries;TV-14;"United States";29-Jan-21;2021;"1 Season"
Accomplice;Movie;"Documentaries, International Movies, Sports Movies";TV-14;"United States";27-Jan-21;2021;"52 min"
BONDING;"TV Show";"TV Comedies, TV Dramas";TV-MA;"United States";27-Jan-21;2021;"2 Seasons"
Outlander;"TV Show";"Romantic TV Shows, TV Action & Adventure, TV Dramas";TV-MA;"United States";27-Jan-21;2018;"4 Seasons"
"Dear John";Movie;"Dramas, Romantic Movies";PG-13;"United States";1-Sep-21;2010;"108 min"
Friendsgiving;Movie;Comedies;R;"United States";21-Jan-21;2020;"95 min"
"Cut Throat City";Movie;Dramas;R;"United States";20-Jan-21;2020;"123 min"
Sightless;Movie;Thrillers;TV-14;"United States";20-Jan-21;2020;"89 min"
Spycraft;"TV Show";"Docuseries, Science & Nature TV";TV-MA;"United States";20-Jan-21;2021;"1 Season"
"Hello Ninja";"TV Show";"Kids' TV";TV-Y;"United States";19-Jan-21;2021;"4 Seasons"
Homefront;Movie;"Action & Adventure";R;"United States";18-Jan-21;2013;"100 min"
"Do the Right Thing";Movie;"Classic Movies, Comedies, Dramas";R;"United States";1-Sep-21;1989;"120 min"
"Radium Girls";Movie;"Dramas, Independent Movies";TV-14;"United States";16-Jan-21;2018;"103 min"
"Bling Empire";"TV Show";"Reality TV";TV-MA;"United States";15-Jan-21;2021;"1 Season"
"Carmen Sandiego";"TV Show";"Kids' TV, TV Thrillers";TV-Y7;"United States";15-Jan-21;2021;"4 Seasons"
Disenchantment;"TV Show";"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy";TV-14;"United States";15-Jan-21;2021;"3 Seasons"
"Henry Danger";"TV Show";"Kids' TV, TV Comedies";TV-G;"United States";15-Jan-21;2016;"3 Seasons"
"Penguins of Madagascar: The Movie";Movie;"Children & Family Movies, Comedies";PG;"United States";15-Jan-21;2014;"92 min"
"The Vanished";Movie;Thrillers;R;"United States";15-Jan-21;2020;"115 min"
"Night Stalker: The Hunt for a Serial Killer";"TV Show";"Crime TV Shows, Docuseries";TV-MA;"United States";13-Jan-21;2021;"1 Season"
